group,p5,p35,p65,p95
het_black_female,19.4,25.4,31.0,45.9
het_black_male,19.95,24.45,28.3,37.4
het_hisp_female,19.4,25.4,31.0,45.9
het_hisp_male,19.95,24.45,28.3,37.4
het_white_female,19.4,25.4,31.0,45.9
het_white_male,19.95,24.45,28.3,37.4
idu_black_female,19.4,25.4,31.0,45.9
idu_black_male,19.4,23.5,26.8,34.6
idu_hisp_female,19.4,25.4,31.0,45.9
idu_hisp_male,19.85,23.6,26.6,33.0
idu_white_female,19.4,25.4,31.0,45.9
idu_white_male,19.85,23.6,26.6,33.0
msm_black_male,19.3,23.5,27.3,36.1
msm_hisp_male,20.4,24.2,27.2,34.3
msm_white_male,19.8,23.9,26.75,34.2
