group,p5,p35,p65,p95
het_black_male,19.7,24.35,28.2,36.59
het_hisp_male,20.6,25,28.925,35.675
het_white_male,20.34,24.5,28.05,36.63
idu_black_male,19.355,23.4,26.3075,33.7675
idu_hisp_male,20.4,23.8,26.8,32.7525
idu_white_male,20.4,23.8,26.8,32.7525
msm_black_male,19.4,23.7,27.6,36.91
msm_hisp_male,20.5,24.6,27.5,35
msm_white_male,20,24,26.9,34.2
het_black_female,19.5,25.9,31.9,45.9
het_hisp_female,19.42,24.6,29.61,41.82
het_white_female,19.42,24.6,29.61,41.82
idu_black_female,19.5,25.9,31.9,45.9
idu_hisp_female,19.42,24.6,29.61,41.82
idu_white_female,19.42,24.6,29.61,41.82
