group,1,2,3,4
het_black_female,3.8729833462,13.674794331,18.708286934,26.83281573
het_black_male,3.8729833462,13.674794331,18.708286934,26.83281573
het_hisp_female,3.8729833462,13.674794331,18.708286934,26.83281573
het_hisp_male,3.8729833462,13.674794331,18.708286934,26.83281573
het_white_female,3.8729833462,13.674794331,18.708286934,26.83281573
het_white_male,3.8729833462,13.674794331,18.708286934,26.83281573
idu_black_female,3.8729833462,13.674794331,18.708286934,26.83281573
idu_black_male,3.8729833462,13.674794331,18.708286934,26.83281573
idu_hisp_female,3.8729833462,13.674794331,18.708286934,26.83281573
idu_hisp_male,3.8729833462,13.674794331,18.708286934,26.83281573
idu_white_female,3.8729833462,13.674794331,18.708286934,26.83281573
idu_white_male,3.8729833462,13.674794331,18.708286934,26.83281573
msm_black_male,3.8729833462,13.674794331,18.708286934,26.83281573
msm_hisp_male,3.8729833462,13.674794331,18.708286934,26.83281573
msm_white_male,3.8729833462,13.674794331,18.708286934,26.83281573
